"proteins","genes","sub-UTD-DN0024.ganglia","sub-UTD-DN0024.nerve.root","sub-UTD-DN0046.ganglia","sub-UTD-DN0046.nerve.root","sub-UTD-DN0093.ganglia","sub-UTD-DN0093.nerve.root","sub-UTD-DN0123.ganglia","sub-UTD-DN0123.nerve.root","sub-UTD-DN0178.ganglia","sub-UTD-DN0178.nerve.root","sub-UTD-DN0181.ganglia","sub-UTD-DN0181.nerve.root","sub-UTD-DN0245.ganglia","sub-UTD-DN0245.nerve.root","sub-UTD-DN0251.ganglia","sub-UTD-DN0251.nerve.root"
"KRT10;KRT12;KRT14;KRT16;KRT19;KRT9","KRT10",15.7973637616264,16.2718394723475,16.5197118100406,16.5077237618791,16.2855766970218,15.7203919650476,16.3201862907649,15.7388018534664,15.7198060323202,16.2055597775892,16.0243652564324,16.3273089758576,15.723525860862,15.9262389734653,14.6359825824345,15.3394642910799
"KRT10;KRT13;KRT13","KRT10",13.2207182923606,14.5800109413253,13.2926305537379,14.6961570727512,13.8500864463199,13.7932212556617,13.7615964261404,13.4538873835808,13.0230089063107,14.1207481711901,13.6254776545308,14.7976886470732,13.0493479300777,13.6786055465489,12.432546791445,13.7768090305985
"KRT10;KRT13;KRT13;KRT14;KRT16;KRT18;KRT19;KRT36;KRT36","KRT10",15.9273727628961,17.265434376556,16.0192653558746,17.2934619725919,15.7396144846432,16.3040232415969,15.870401633567,15.7660747944829,15.8675346576843,16.5419642124551,16.3139993684204,17.5305746734501,15.6330496602963,16.6898405241281,14.9290513089405,16.5625837844788
"KRT10;KRT25;KRT27","KRT10",16.2862065366877,17.3626807967897,16.4767635726537,17.5217106450019,16.5171536660522,16.9124084924615,16.2915776959384,16.3143009374459,16.2140765387595,16.8616396688134,16.5523015081334,17.7223932924762,15.666872449137,17.265409215653,15.5180438680518,16.7219643898411
"KRT12","KRT12",12.7352217537872,13.8843899599976,12.773452301112,13.6443407637513,13.188358524092,13.6113015025553,13.3509806059625,12.2132146764751,13.2904796982513,13.2837464914503,13.6609541014464,13.8454246090216,NA,NA,NA,12.6298142206427
"KRT13;KRT13","KRT13",NA,NA,NA,15.0431992232815,NA,15.4887935870702,15.5513749650484,NA,15.4725067236553,15.4677646259218,NA,14.3645108778911,15.6020840810139,NA,14.6505521304184,NA
"KRT14","KRT14",9.78946408387427,NA,13.02332914619,12.71589705122,10.7373092753203,NA,11.6334593218731,13.20167420501,10.3179782654438,NA,NA,13.9329040039292,12.4099497624284,NA,NA,NA
"KRT16","KRT16",12.4051899242778,NA,13.1823253033025,12.3022683440596,NA,13.2283350091721,NA,13.3142624788202,12.7024779590736,12.1799570892973,12.4399023784473,12.7816479388894,12.4369870497092,12.6783857667695,12.3158266798591,NA
"KRT18","KRT18",NA,13.2424113769067,NA,12.9884571899469,12.6554466453534,13.6059499600115,NA,12.6516777607762,NA,13.2622023390305,NA,13.4182039105994,13.6251394197298,13.9684523941699,NA,12.1783888799343
"KRT18;KRT19","KRT18",11.9264553088072,13.2694872488111,11.8424083880148,13.3991066236473,11.7045038420773,13.2887821010668,NA,12.4105335011604,13.6869341690704,14.0591737849416,11.6937870951378,13.4264407672639,12.704002483136,13.6482917870955,12.1977976504587,NA
"KRT19","KRT19",12.7306147814348,13.0871326220485,12.2646514826544,12.7657353954848,12.6880561961027,13.0727484962303,12.5219095799084,12.1745259186908,14.0268512976811,14.18809109595,12.1640174760644,12.8768477908385,12.9054199503103,12.5914617234763,12.3951881445093,NA
"KRT1;KRT2","KRT1",16.9070723195103,18.2961322661432,17.7875612228387,18.4014747384994,17.538353851582,17.5175108679334,17.6064916274564,17.2227824645644,16.9061144608367,17.6201448684068,17.3233489837423,18.3351090349645,16.8499433805641,17.8917148199727,15.7264584736515,17.3022421926665
"KRT1;KRT2;KRT3;KRT5;KRT76;KRT77;KRT8","KRT1",14.3507543667601,15.9978871863412,15.6354814224396,15.6418153219345,15.2766010173013,15.1303599280614,15.0911894603293,14.7956348451737,14.4137686085739,15.4645882855113,15.1607597322515,15.9788904845626,14.068170373937,15.6387729713738,13.4475160301427,14.689780316581
"KRT1;KRT2;KRT5;KRT77","KRT1",12.9985524828847,14.6272769079854,13.7811261932023,14.7046470029336,13.4853522796265,14.2660217699369,14.0209243247132,14.4530969753509,13.7535823917626,13.8193629654408,13.407634180125,14.669428357207,13.6202541968033,14.1082155273244,NA,14.0222711844321
"KRT1;KRT2;KRT5;KRT8","KRT1",NA,11.9603748697783,13.1956044349278,13.6077926419192,NA,13.295855011509,11.8763020610883,12.2278355195686,11.8074193266486,NA,NA,11.5774779157091,NA,12.6069279676874,NA,11.4538203806526
